id,Class,Family
ENSDARG00000090942,TF,zf-C2H2
ENSDARG00000113436,TF,zf-GATA
ENSDARG00000031756,TF,SRF
ENSDARG00000021916,TF,Homeobox
ENSDARG00000012667,TF,AP-2
ENSDARG00000103176,TF,SF-like
ENSDARG00000092246,TF,zf-C2H2
ENSDARG00000042525,TF,COE
ENSDARG00000099837,TF,zf-C2H2
ENSDARG00000089230,TF,zf-C2H2
ENSDARG00000112523,TF,Fork_head
ENSDARG00000037588,TF,bHLH
ENSDARG00000088847,TF,zf-C2H2
ENSDARG00000010207,TF,MH1
ENSDARG00000087166,TF,bHLH
ENSDARG00000087168,TF,zf-C2H2
ENSDARG00000077092,TF,ETS
ENSDARG00000108987,TF,zf-C2H2
ENSDARG00000004060,TF,bHLH
ENSDARG00000094427,TF,zf-C2H2
ENSDARG00000101425,TF,zf-C2H2
ENSDARG00000024619,TF,Fork_head
ENSDARG00000005883,TF,RFX
ENSDARG00000027978,TF,zf-C2H2
ENSDARG00000042029,TF,MBD
ENSDARG00000110787,TF,zf-C2H2
ENSDARG00000087303,TF,TF_bZIP
ENSDARG00000113627,TF,P53
ENSDARG00000035127,TF,RXR-like
ENSDARG00000105498,TF,TSC22
ENSDARG00000074298,TF,zf-C2H2
ENSDARG00000109865,TF,TF_bZIP
ENSDARG00000055751,TF,TF_bZIP
ENSDARG00000113178,TF,RXR-like
ENSDARG00000112923,TF,Miscellaneous
ENSDARG00000104013,TF,zf-C2H2
ENSDARG00000000567,TF,zf-C2H2
ENSDARG00000020606,TF,TF_bZIP
ENSDARG00000091514,TF,THAP
ENSDARG00000074752,TF,TF_bZIP
ENSDARG00000077915,TF,Homeobox
ENSDARG00000075952,TF,MBD
ENSDARG00000007823,TF,TF_bZIP
ENSDARG00000105816,TF,zf-C2H2
ENSDARG00000062892,TF,Fork_head
ENSDARG00000007329,TF,T-box
ENSDARG00000100167,TF,CSD
ENSDARG00000113837,TF,zf-C2H2
ENSDARG00000114681,TF,Homeobox
ENSDARG00000063701,TF,zf-C2H2
ENSDARG00000102658,TF,zf-C2H2
ENSDARG00000111731,TF,zf-C2H2
ENSDARG00000053165,TF,zf-C2H2
ENSDARG00000056407,TF,IRF
ENSDARG00000077785,TF,TF_bZIP
ENSDARG00000100959,TF,zf-C2H2
ENSDARG00000007277,TF,bHLH
ENSDARG00000098021,TF,zf-C2H2
ENSDARG00000031138,TF,Homeobox
ENSDARG00000059274,TF,Homeobox
ENSDARG00000003398,TF,CSL
ENSDARG00000116216,TF,zf-C2H2
ENSDARG00000070098,TF,HTH
ENSDARG00000053499,TF,Homeobox
ENSDARG00000009438,TF,bHLH
ENSDARG00000087046,TF,zf-C2H2
ENSDARG00000071055,TF,zf-C2H2
ENSDARG00000089787,TF,TF_bZIP
ENSDARG00000002707,TF,bHLH
ENSDARG00000020759,TF,ETS
ENSDARG00000069266,TF,ESR-like
ENSDARG00000058133,TF,Fork_head
ENSDARG00000055752,TF,bHLH
ENSDARG00000103853,TF,zf-C2H2
ENSDARG00000061368,TF,zf-C2H2
ENSDARG00000101842,TF,zf-C2H2
ENSDARG00000070864,TF,ZBTB
ENSDARG00000068400,TF,ZBTB
ENSDARG00000042004,TF,NF-YA
ENSDARG00000058566,TF,zf-C2H2
ENSDARG00000003200,TF,Fork_head
ENSDARG00000110710,TF,zf-C2H2
ENSDARG00000079020,TF,GCFC
ENSDARG00000019930,TF,bHLH
ENSDARG00000116327,TF,bHLH
ENSDARG00000105144,TF,zf-C2H2
ENSDARG00000105831,TF,zf-C2H2
ENSDARG00000103172,TF,zf-C2H2
ENSDARG00000057741,TF,THR-like
ENSDARG00000001859,TF,Homeobox
ENSDARG00000097088,TF,TF_bZIP
ENSDARG00000044525,TF,THR-like
ENSDARG00000008796,TF,bHLH
ENSDARG00000114069,TF,Homeobox
ENSDARG00000101960,TF,zf-C2H2
ENSDARG00000058710,TF,MYB
ENSDARG00000076763,TF,zf-C2H2
ENSDARG00000030350,TF,Homeobox
ENSDARG00000079382,TF,Homeobox
ENSDARG00000116206,TF,Homeobox
ENSDARG00000073708,TF,zf-C2H2
ENSDARG00000070389,TF,Fork_head
ENSDARG00000096716,TF,Homeobox
ENSDARG00000028517,TF,HMG
ENSDARG00000102480,TF,zf-C2H2
ENSDARG00000031891,TF,T-box
ENSDARG00000092979,TF,zf-MIZ
ENSDARG00000053695,TF,zf-C2H2
ENSDARG00000093831,TF,zf-C2H2
ENSDARG00000070428,TF,MH1
ENSDARG00000014680,TF,zf-C2H2
ENSDARG00000021336,TF,PAX
ENSDARG00000103046,TF,zf-C2H2
ENSDARG00000015876,TF,bHLH
ENSDARG00000105038,TF,zf-C2H2
ENSDARG00000079575,TF,AF-4
ENSDARG00000009594,TF,THR-like
ENSDARG00000102761,TF,ZBTB
ENSDARG00000098087,TF,zf-C2H2
ENSDARG00000011235,TF,TF_Otx
ENSDARG00000036055,TF,THAP
ENSDARG00000041702,TF,RFX
ENSDARG00000008133,TF,Fork_head
ENSDARG00000112126,TF,zf-C2H2
ENSDARG00000008203,TF,PAX
ENSDARG00000097819,TF,zf-C2H2
ENSDARG00000104078,TF,zf-C2H2
ENSDARG00000002445,TF,zf-C2H2
ENSDARG00000045527,TF,RXR-like
ENSDARG00000077823,TF,HMG
ENSDARG00000074820,TF,zf-C2H2
ENSDARG00000075774,TF,Fork_head
ENSDARG00000074146,TF,zf-C2H2
ENSDARG00000104613,TF,zf-C2H2
ENSDARG00000088616,TF,zf-C2H2
ENSDARG00000070536,TF,TF_bZIP
ENSDARG00000015399,TF,Fork_head
ENSDARG00000111209,TF,bHLH
ENSDARG00000096012,TF,zf-C2H2
ENSDARG00000110530,TF,Homeobox
ENSDARG00000116570,TF,zf-C2H2
ENSDARG00000117096,TF,zf-C2H2
ENSDARG00000038141,TF,TF_bZIP
ENSDARG00000086494,TF,zf-C2H2
ENSDARG00000102436,TF,zf-C2H2
ENSDARG00000109327,TF,zf-C2H2
ENSDARG00000111659,TF,zf-C2H2
ENSDARG00000101203,TF,zf-C2H2
ENSDARG00000034086,TF,TSC22
ENSDARG00000000760,TF,zf-C2H2
ENSDARG00000113808,TF,zf-C2H2
ENSDARG00000094216,TF,zf-C2H2
ENSDARG00000095667,TF,zf-C2H2
ENSDARG00000098036,TF,THAP
ENSDARG00000013441,TF,bHLH
ENSDARG00000099373,TF,THAP
ENSDARG00000012887,TF,zf-C2H2
ENSDARG00000039116,TF,SF-like
ENSDARG00000021086,TF,zf-C2H2
ENSDARG00000031763,TF,MH1
ENSDARG00000007407,TF,Homeobox
ENSDARG00000035150,TF,zf-C2H2
ENSDARG00000105806,TF,zf-C2H2
ENSDARG00000095497,TF,zf-C2H2
ENSDARG00000002601,TF,Homeobox
ENSDARG00000074758,TF,CSD
ENSDARG00000104651,TF,Homeobox
ENSDARG00000101549,TF,Homeobox
ENSDARG00000094177,TF,zf-C2H2
ENSDARG00000100468,TF,zf-C2H2
ENSDARG00000001940,TF,MYB
ENSDARG00000096041,TF,zf-C2H2
ENSDARG00000095125,TF,THAP
ENSDARG00000028086,TF,ZBTB
ENSDARG00000053829,TF,PAX
ENSDARG00000055395,TF,Fork_head
ENSDARG00000110372,TF,zf-C2H2
ENSDARG00000102138,TF,Fork_head
ENSDARG00000096226,TF,zf-C2H2
ENSDARG00000114231,TF,NF-YA
ENSDARG00000069796,TF,zf-C2H2
ENSDARG00000004473,TF,T-box
ENSDARG00000109320,TF,E2F
ENSDARG00000102588,TF,SAND
ENSDARG00000091896,TF,zf-C2H2
ENSDARG00000112940,TF,zf-C2H2
ENSDARG00000104823,TF,zf-C2H2
ENSDARG00000040884,TF,bHLH
ENSDARG00000115866,TF,Homeobox
ENSDARG00000080021,TF,zf-C2H2
ENSDARG00000091393,TF,zf-C2H2
ENSDARG00000106749,TF,zf-C2H2
ENSDARG00000103947,TF,zf-C2H2
ENSDARG00000077237,TF,RFX
ENSDARG00000005915,TF,bHLH
ENSDARG00000003411,TF,Fork_head
ENSDARG00000093469,TF,zf-C2H2
ENSDARG00000008818,TF,HSF
ENSDARG00000114447,TF,ARID
ENSDARG00000096851,TF,zf-C2H2
ENSDARG00000101056,TF,zf-C2H2
ENSDARG00000113729,TF,ETS
ENSDARG00000007630,TF,zf-CCCH
ENSDARG00000092596,TF,zf-C2H2
ENSDARG00000092060,TF,T-box
ENSDARG00000088378,TF,zf-C2H2
ENSDARG00000054323,TF,THR-like
ENSDARG00000088347,TF,zf-C2H2
ENSDARG00000089607,TF,zf-C2H2
ENSDARG00000097244,TF,zf-C2H2
ENSDARG00000035648,TF,Homeobox
ENSDARG00000112133,TF,RHD
ENSDARG00000073944,TF,Homeobox
ENSDARG00000094017,TF,zf-C2H2
ENSDARG00000115171,TF,TF_bZIP
ENSDARG00000054025,TF,Homeobox
ENSDARG00000031777,TF,THR-like
ENSDARG00000030999,TF,MYB
ENSDARG00000075450,TF,Homeobox
ENSDARG00000116703,TF,TF_bZIP
ENSDARG00000100568,TF,zf-C2H2
ENSDARG00000100483,TF,Homeobox
ENSDARG00000055294,TF,bHLH
ENSDARG00000002031,TF,HMG
ENSDARG00000069111,TF,zf-C2H2
ENSDARG00000020794,TF,bHLH
ENSDARG00000100821,TF,zf-C2H2
ENSDARG00000111046,TF,zf-C2H2
ENSDARG00000035889,TF,ZBTB
ENSDARG00000078552,TF,CP2
ENSDARG00000036051,TF,Homeobox
ENSDARG00000099374,TF,zf-C2H2
ENSDARG00000102714,TF,zf-BED
ENSDARG00000003971,TF,Homeobox
ENSDARG00000016022,TF,zf-C2H2
ENSDARG00000113294,TF,zf-C2H2
ENSDARG00000093220,TF,zf-C2H2
ENSDARG00000090871,TF,zf-C2H2
ENSDARG00000114400,TF,bHLH
ENSDARG00000107177,TF,zf-C2H2
ENSDARG00000096941,TF,zf-C2H2
ENSDARG00000040503,TF,zf-CCCH
ENSDARG00000104887,TF,zf-C2H2
ENSDARG00000078138,TF,zf-LITAF-like
ENSDARG00000094038,TF,zf-BED
ENSDARG00000096428,TF,zf-BED
ENSDARG00000052164,TF,zf-C2H2
ENSDARG00000103936,TF,zf-C2H2
ENSDARG00000092583,TF,zf-C2H2
ENSDARG00000095890,TF,zf-C2H2
ENSDARG00000018757,TF,zf-C2H2
ENSDARG00000092080,TF,zf-C2H2
ENSDARG00000056725,TF,HMG
ENSDARG00000115643,TF,T-box
ENSDARG00000097839,TF,zf-C2H2
ENSDARG00000007824,TF,CG-1
ENSDARG00000018004,TF,Homeobox
ENSDARG00000015906,TF,Homeobox
ENSDARG00000044098,TF,zf-C2H2
ENSDARG00000102774,TF,zf-C2H2
ENSDARG00000030267,TF,zf-C2H2
ENSDARG00000006640,TF,T-box
ENSDARG00000069763,TF,ETS
ENSDARG00000007009,TF,Homeobox
ENSDARG00000104985,TF,zf-C2H2
ENSDARG00000042904,TF,Fork_head
ENSDARG00000040465,TF,IRF
ENSDARG00000100196,TF,zf-C2H2
ENSDARG00000013477,TF,zf-GATA
ENSDARG00000037196,TF,ARID
ENSDARG00000114182,TF,Homeobox
ENSDARG00000006350,TF,Homeobox
ENSDARG00000060808,TF,zf-C2H2
ENSDARG00000063014,TF,TF_bZIP
ENSDARG00000053260,TF,zf-C2H2
ENSDARG00000100127,TF,zf-C2H2
ENSDARG00000109821,TF,zf-C2H2
ENSDARG00000116608,TF,Homeobox
ENSDARG00000039412,TF,DM
ENSDARG00000040487,TF,GTF2I
ENSDARG00000030583,TF,Fork_head
ENSDARG00000099284,TF,THAP
ENSDARG00000104979,TF,THAP
ENSDARG00000056979,TF,Homeobox
ENSDARG00000051926,TF,zf-C2H2
ENSDARG00000018000,TF,CP2
ENSDARG00000061011,TF,TF_bZIP
ENSDARG00000105058,TF,zf-C2H2
ENSDARG00000097281,TF,zf-C2H2
ENSDARG00000041323,TF,CSD
ENSDARG00000093865,TF,zf-C2H2
ENSDARG00000094558,TF,zf-C2H2
ENSDARG00000030012,TF,LRRFIP
ENSDARG00000015312,TF,zf-C2H2
ENSDARG00000021201,TF,Homeobox
ENSDARG00000006206,TF,Pou
ENSDARG00000100847,TF,ESR-like
ENSDARG00000032705,TF,Fork_head
ENSDARG00000070770,TF,bHLH
ENSDARG00000109585,TF,zf-C2H2
ENSDARG00000098661,TF,zf-C2H2
ENSDARG00000030703,TF,TF_Otx
ENSDARG00000089158,TF,zf-C2H2
ENSDARG00000070069,TF,Homeobox
ENSDARG00000103057,TF,Homeobox
ENSDARG00000016999,TF,CSD
ENSDARG00000088051,TF,zf-C2H2
ENSDARG00000105073,TF,zf-C2H2
ENSDARG00000070053,TF,Fork_head
ENSDARG00000087093,TF,zf-LITAF-like
ENSDARG00000019810,TF,TF_bZIP
ENSDARG00000079626,TF,ETS
ENSDARG00000105306,TF,zf-C2H2
ENSDARG00000070677,TF,zf-C2H2
ENSDARG00000101134,TF,zf-C2H2
ENSDARG00000070704,TF,THAP
ENSDARG00000040261,TF,Runt
ENSDARG00000078476,TF,zf-C2H2
ENSDARG00000095997,TF,zf-C2H2
ENSDARG00000042485,TF,Fork_head
ENSDARG00000104560,TF,THAP
ENSDARG00000003469,TF,bHLH
ENSDARG00000105078,TF,zf-BED
ENSDARG00000088214,TF,zf-C2H2
ENSDARG00000102731,TF,zf-C2H2
ENSDARG00000116135,TF,T-box
ENSDARG00000068580,TF,zf-C2H2
ENSDARG00000078784,TF,T-box
ENSDARG00000098311,TF,zf-C2H2
ENSDARG00000113888,TF,ZBTB
ENSDARG00000079972,TF,RHD
ENSDARG00000053364,TF,Homeobox
ENSDARG00000043126,TF,zf-C2H2
ENSDARG00000116760,TF,TF_bZIP
ENSDARG00000109410,TF,zf-C2H2
ENSDARG00000089715,TF,zf-C2H2
ENSDARG00000095896,TF,Pou
ENSDARG00000062621,TF,CUT
ENSDARG00000116993,TF,bHLH
ENSDARG00000097215,TF,zf-C2H2
ENSDARG00000104885,TF,zf-C2H2
ENSDARG00000068380,TF,Fork_head
ENSDARG00000111803,TF,RXR-like
ENSDARG00000000151,TF,THR-like
ENSDARG00000086825,TF,zf-C2H2
ENSDARG00000026972,TF,zf-C2H2
ENSDARG00000075783,TF,HMG
ENSDARG00000042977,TF,TF_bZIP
ENSDARG00000000175,TF,Homeobox
ENSDARG00000078159,TF,zf-C2H2
ENSDARG00000098103,TF,TF_bZIP
ENSDARG00000113275,TF,THR-like
ENSDARG00000038780,TF,HMG
ENSDARG00000067607,TF,bHLH
ENSDARG00000102455,TF,zf-C2H2
ENSDARG00000076472,TF,zf-C2H2
ENSDARG00000055162,TF,Homeobox
ENSDARG00000007990,TF,zf-C2H2
ENSDARG00000070542,TF,TF_bZIP
ENSDARG00000019717,TF,Homeobox
ENSDARG00000097812,TF,zf-C2H2
ENSDARG00000069675,TF,bHLH
ENSDARG00000099120,TF,TF_bZIP
ENSDARG00000116208,TF,Homeobox
ENSDARG00000088298,TF,zf-C2H2
ENSDARG00000097551,TF,zf-C2H2
ENSDARG00000098094,TF,zf-C2H2
ENSDARG00000068406,TF,Homeobox
ENSDARG00000089092,TF,zf-C2H2
ENSDARG00000012649,TF,MH1
ENSDARG00000074624,TF,zf-C2H2
ENSDARG00000077813,TF,bHLH
ENSDARG00000016363,TF,bHLH
ENSDARG00000111929,TF,Pou
ENSDARG00000090366,TF,zf-C2H2
ENSDARG00000103636,TF,zf-C2H2
ENSDARG00000114414,TF,Fork_head
ENSDARG00000103244,TF,zf-C2H2
ENSDARG00000062824,TF,Homeobox
ENSDARG00000089883,TF,zf-C2H2
ENSDARG00000012833,TF,Fork_head
ENSDARG00000111056,TF,Homeobox
ENSDARG00000109864,TF,zf-C2H2
ENSDARG00000110658,TF,zf-C2H2
ENSDARG00000112403,TF,THAP
ENSDARG00000115857,TF,zf-C2H2
ENSDARG00000059256,TF,Homeobox
ENSDARG00000100544,TF,zf-C2H2
ENSDARG00000056793,TF,zf-C2H2
ENSDARG00000102606,TF,zf-C2H2
ENSDARG00000112623,TF,T-box
ENSDARG00000078814,TF,zf-C2H2
ENSDARG00000111786,TF,Homeobox
ENSDARG00000055481,TF,TF_bZIP
ENSDARG00000053666,TF,MYB
ENSDARG00000112502,TF,ZBTB
ENSDARG00000056023,TF,Homeobox
ENSDARG00000116417,TF,Homeobox
ENSDARG00000034117,TF,THR-like
ENSDARG00000013207,TF,zf-C2H2
ENSDARG00000061974,TF,CP2
ENSDARG00000002330,TF,Homeobox
ENSDARG00000002937,TF,Homeobox
ENSDARG00000043553,TF,Fork_head
ENSDARG00000045983,TF,ZBTB
ENSDARG00000013539,TF,zf-C2H2
ENSDARG00000099346,TF,zf-C2H2
ENSDARG00000070786,TF,zf-C2H2
ENSDARG00000054903,TF,zf-GATA
ENSDARG00000014828,TF,zf-C2HC
ENSDARG00000070465,TF,zf-BED
ENSDARG00000059130,TF,zf-GATA
ENSDARG00000110031,TF,zf-C2H2
ENSDARG00000100652,TF,zf-C2H2
ENSDARG00000075542,TF,Homeobox
ENSDARG00000013789,TF,bHLH
ENSDARG00000095549,TF,zf-BED
ENSDARG00000101578,TF,E2F
ENSDARG00000103247,TF,zf-C2H2
ENSDARG00000087839,TF,zf-C2H2
ENSDARG00000115912,TF,zf-C2H2
ENSDARG00000079547,TF,zf-C2H2
ENSDARG00000116211,TF,zf-C2H2
ENSDARG00000113582,TF,zf-C2H2
ENSDARG00000056400,TF,bHLH
ENSDARG00000096222,TF,zf-C2H2
ENSDARG00000042215,TF,zf-MIZ
ENSDARG00000022203,TF,GTF2I
ENSDARG00000003142,TF,DACH
ENSDARG00000087453,TF,zf-C2H2
ENSDARG00000004712,TF,T-box
ENSDARG00000070955,TF,Homeobox
ENSDARG00000077428,TF,CG-1
ENSDARG00000056666,TF,zf-C2H2
ENSDARG00000103691,TF,RFX
ENSDARG00000088631,TF,MYB
ENSDARG00000077811,TF,HMG
ENSDARG00000098903,TF,bHLH
ENSDARG00000098536,TF,zf-C2H2
ENSDARG00000109840,TF,zf-C2H2
ENSDARG00000054562,TF,bHLH
ENSDARG00000021938,TF,MH1
ENSDARG00000103597,TF,zf-C2H2
ENSDARG00000099175,TF,HMG
ENSDARG00000101029,TF,zf-C2H2
ENSDARG00000113877,TF,Homeobox
ENSDARG00000115450,TF,zf-C2H2
ENSDARG00000016457,TF,IRF
ENSDARG00000116678,TF,bHLH
ENSDARG00000063438,TF,bHLH
ENSDARG00000029072,TF,zf-C2H2
ENSDARG00000059836,TF,TF_bZIP
ENSDARG00000087753,TF,bHLH
ENSDARG00000043249,TF,IRF
ENSDARG00000061311,TF,zf-C2H2
ENSDARG00000012656,TF,TF_bZIP
ENSDARG00000098683,TF,zf-MIZ
ENSDARG00000069295,TF,ZBTB
ENSDARG00000070340,TF,Homeobox
ENSDARG00000041952,TF,HPD
ENSDARG00000112103,TF,zf-C2H2
ENSDARG00000111899,TF,zf-C2H2
ENSDARG00000116035,TF,zf-C2HC
ENSDARG00000061548,TF,Fork_head
ENSDARG00000104163,TF,zf-C2H2
ENSDARG00000093461,TF,zf-C2H2
ENSDARG00000115480,TF,THAP
ENSDARG00000098122,TF,zf-C2H2
ENSDARG00000086223,TF,zf-C2H2
ENSDARG00000105669,TF,zf-NF-X1
ENSDARG00000079187,TF,T-box
ENSDARG00000087536,TF,zf-C2H2
ENSDARG00000056594,TF,Homeobox
ENSDARG00000087674,TF,zf-C2H2
ENSDARG00000112985,TF,RXR-like
ENSDARG00000042032,TF,Pou
ENSDARG00000100415,TF,zf-C2H2
ENSDARG00000002362,TF,zf-LITAF-like
ENSDARG00000070913,TF,HMG
ENSDARG00000045413,TF,GCM
ENSDARG00000110853,TF,ETS
ENSDARG00000116017,TF,Homeobox
ENSDARG00000114289,TF,zf-C2H2
ENSDARG00000110497,TF,HMG
ENSDARG00000095241,TF,MYB
ENSDARG00000103133,TF,Homeobox
ENSDARG00000094387,TF,THAP
ENSDARG00000109381,TF,zf-C2H2
ENSDARG00000110852,TF,zf-C2H2
ENSDARG00000111018,TF,zf-C2H2
ENSDARG00000116511,TF,bHLH
ENSDARG00000101885,TF,zf-C2H2
